ADM2_EN,date,temperature_2m,temperature_2m_max,temperature_2m_min,total_precipitation_sum
Aniocha South,2024-05-03,300.9483477,306.1178582,298.6313118,0.0020482
Aniocha South,2024-05-04,301.4680198,307.3445744,298.90849,0.0057148
Aniocha South,2024-05-05,302.0999844,308.0579901,298.1005518,0.0013293
Aniocha South,2024-05-06,301.6488412,305.8756716,298.8922796,0.0003916
Anka,2024-05-01,306.9587461,313.5117728,300.7337492,9.6724413e-06
Anka,2024-05-02,306.8517789,312.5104341,302.3295838,7.12e-05
Anka,2024-05-03,306.6146719,312.002269,302.1764838,0
Anka,2024-05-04,306.9723203,312.9694913,301.6294467,2.4012593e-06
Anka,2024-05-05,307.237599,313.0994497,301.7443865,4.9362679e-06
Anka,2024-05-06,305.9016519,312.9802143,301.7309046,0.0025951
Ankpa,2024-05-01,303.78568,310.6483967,299.6395095,0.0057555
Ankpa,2024-05-02,302.5740173,307.9007497,298.8667341,0.0003501
Ankpa,2024-05-03,302.3794498,307.411064,298.7515794,0.0012977
Ankpa,2024-05-04,303.0388354,308.5933192,298.8751785,0.0010758
Ankpa,2024-05-05,303.1125212,308.6780476,298.8317438,0.0002798
Ankpa,2024-05-06,302.9087667,308.8692852,299.1012099,0.0025889
Apa,2024-05-01,305.6821684,312.8137902,300.3282449,0.0116514
Apa,2024-05-02,304.1954218,309.1219597,300.36292,0.0001251
Apa,2024-05-03,303.6771734,308.7122898,300.1998026,0.0005514
Apa,2024-05-04,304.4304713,309.8350453,300.1923937,0.0002454
Apa,2024-05-05,304.5972927,309.6388482,300.4450856,9.58e-05
Apa,2024-05-06,304.5196505,310.4983449,300.4640891,0.004244
