adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm0_en,adm3_ref_n,center_lat,center_lon,total_pop_reprod
Namiroa,,,,MZ070303,Erati,,,,MZ0703,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1528.18980518,V_01,pt,,,,Mozambique,Namiroa,-14.08727699,39.46359531,10303.2388956845
Namogelia,,,,MZ010305,Chiure,,,,MZ0103,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,711.59886081,V_01,pt,,,,Mozambique,Namogelia,-13.71700926,39.44304202,3841.99316084385
Namuno,,,,MZ011405,Namuno,,,,MZ0114,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1239.09579886,V_01,pt,,,,Mozambique,Namuno,-13.55609342,38.81001748,31491.529555738
Nangade,,,,MZ011502,Nangade,,,,MZ0115,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1939.90163189,V_01,pt,,,,Mozambique,Nangade,-11.11566136,39.77446123,19100.9118002951
Nanhupo Rio,,,,MZ071305,Mogovolas,,,,MZ0713,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,718.92536517,V_01,pt,,,,Mozambique,Nanhupo Rio,-15.94066669,39.46702795,5583.3554995954
Nante,,,,MZ111102,Maganja Da Costa,,,,MZ1111,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,1324.83589158,V_01,pt,,,,Mozambique,Nante,-17.3495524,37.2485119,11581.0396093726
Nauela,,,,MZ110102,Alto Molocue,,,,MZ1101,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,2601.15864188,V_01,pt,,,,Mozambique,Nauela,-15.41507864,37.6009323,25988.3782614023
Ndelane,,,,MZ050604,Matutuine,,,,MZ0506,Maputo,,,,MZ05,Moçambique,,,,MZ,2019-06-07,,161.98252877,V_01,pt,,,,Mozambique,Ndelane,-26.21740686,32.90622721,167.917647443712
Negomano,,,,MZ011205,Mueda,,,,MZ0112,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,3023.24239476,V_01,pt,,,,Mozambique,Negomano,-11.53084305,38.65891966,466.567141249776
Netia,,,,MZ071503,Monapo,,,,MZ0715,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1039.62705028,V_01,pt,,,,Mozambique,Netia,-14.69571772,39.99992929,24699.1017907858
